Claim_ID,Customer_ID,Date_Submitted,Claim_Amount,Claim_Type,Status,Payout_Amount,Notes
1001,C021,2025-05-21,13818.16,Health,Approved,12115.7,Claim processed successfully
1002,C004,2025-02-07,9184.7,Auto,Approved,8081.9,Claim processed successfully
1003,C001,2025-05-29,7584.78,Health,Denied,0.0,Claim denied due to policy terms
1004,C024,2025-05-24,2122.08,Life,Pending,,Awaiting review
1005,C009,2025-05-15,5763.22,Property,Approved,4780.67,Claim processed successfully
1006,C008,2024-12-19,14787.16,Auto,Pending,,Awaiting review
1007,C008,2025-05-05,12198.23,Property,Pending,,Awaiting review
1008,C005,2025-05-12,3972.06,Life,Approved,3723.9,Claim processed successfully
1009,C024,2025-01-13,3992.64,Auto,Approved,3906.93,Claim processed successfully
1010,C004,2025-04-16,8726.68,Auto,Pending,,Awaiting review
1011,C022,2025-02-01,1641.98,Life,Approved,1596.15,Claim processed successfully
1012,C024,2025-01-11,11112.66,Health,Approved,10858.1,Claim processed successfully
1013,C029,2025-03-29,12332.34,Life,Approved,11785.82,Claim processed successfully
1014,C018,2025-03-08,14680.78,Property,Approved,12387.18,Claim processed successfully
1015,C003,2025-02-08,8224.24,Property,Denied,0.0,Claim denied due to policy terms
1016,C019,2025-05-13,2323.53,Auto,Approved,2232.5,Claim processed successfully
1017,C014,2025-05-26,10066.39,Auto,Denied,0.0,Claim denied due to policy terms
1018,C002,2025-04-22,14229.31,Property,Denied,0.0,Claim denied due to policy terms
1019,C001,2025-01-26,2894.34,Property,Approved,2718.31,Claim processed successfully
1020,C003,2025-05-25,8151.27,Health,Pending,,Awaiting review
1021,C007,2025-02-22,9295.61,Health,Approved,8300.14,Claim processed successfully
1022,C008,2024-12-15,14483.26,Property,Approved,13201.22,Claim processed successfully
1023,C017,2025-01-28,13969.25,Health,Approved,13738.67,Claim processed successfully
1024,C020,2024-12-09,11451.35,Health,Pending,,Awaiting review
1025,C001,2025-02-19,10503.08,Auto,Approved,8657.39,Claim processed successfully
1026,C018,2025-03-13,10837.76,Property,Approved,8959.23,Claim processed successfully
1027,C007,2025-02-07,6285.39,Health,Pending,,Awaiting review
1028,C023,2024-12-17,10239.46,Life,Denied,0.0,Claim denied due to policy terms
1029,C021,2025-01-24,5914.6,Life,Approved,5281.32,Claim processed successfully
1030,C023,2025-04-25,13544.4,Auto,Approved,12274.29,Claim processed successfully
1031,C018,2025-02-19,7046.55,Property,Denied,0.0,Claim denied due to policy terms
1032,C014,2025-01-24,4094.63,Property,Approved,3733.42,Claim processed successfully
1033,C008,2025-05-17,1428.38,Auto,Approved,1233.35,Claim processed successfully
1034,C015,2025-04-07,805.0,Property,Denied,0.0,Claim denied due to policy terms
1035,C019,2025-03-12,8531.86,Property,Approved,8114.23,Claim processed successfully
1036,C009,2025-05-14,9032.38,Auto,Approved,8025.4,Claim processed successfully
1037,C026,2025-03-28,604.27,Health,Approved,581.91,Claim processed successfully
1038,C028,2025-01-06,10763.69,Auto,Pending,,Awaiting review
